38	31	1
40	38	1
41	40	1
41	39	1
39	37	1
37	30	1
30	18	1
18	12	1
12	4	1
4	2	1
2	1	1
3	1	1
5	3	1
11	5	1
23	11	1
31	23	1
14	10	1
22	14	1
28	22	1
33	28	1
35	33	1
36	35	1
34	36	1
34	32	1
41	36	1
40	35	1
38	33	1
31	28	1
22	23	1
14	11	1
7	10	1
7	6	1
6	8	1
8	9	1
15	9	1
19	15	1
27	19	1
32	27	1
25	32	1
29	25	1
24	29	1
26	24	1
36	29	1
33	26	1
29	26	1
26	21	1
21	22	1
24	21	1
21	17	1
17	13	1
13	16	1
20	16	1
25	20	1
39	34	1
37	32	1
25	24	1
20	24	1
19	20	1
18	19	1
30	27	1
10	5	1
17	10	1
24	17	1
7	3	1
13	6	1
24	13	1
6	1	1
8	2	1
9	4	1
16	9	1
15	12	1
24	16	1
