1	124	124	1
2	160	124	1
3	195	124	1
4	231	124	1
5	190	151	1
6	223	165	1
7	149	149	1
8	175	175	1
9	200	200	1
10	151	190	1
11	165	223	1
12	124	160	1
13	124	195	1
14	124	231	1
15	99	149	1
16	97	190	1
17	83	223	1
18	74	174	1
19	48	200	1
20	58	151	1
21	25	165	1
22	149	99	1
23	88	124	1
24	53	124	1
25	17	124	1
26	99	99	1
27	74	74	1
28	58	97	1
29	25	83	1
30	48	48	1
31	97	58	1
32	83	25	1
33	124	17	1
34	124	53	1
35	124	88	1
36	151	58	1
37	165	25	1
38	175	73	1
39	200	48	1
40	190	97	1
41	223	83	1
