1	41	218	1
2	54	200	1
3	55	327	1
4	73	292	1
5	85	141	1
6	90	371	1
7	95	263	1
8	100	257	1
9	115	322	1
10	123	107	1
11	127	362	1
12	138	342	1
13	143	89	1
14	148	95	1
15	151	321	1
16	152	187	1
17	160	150	1
18	163	302	1
19	165	80	1
20	170	159	1
21	171	289	1
22	189	136	1
23	195	348	1
24	201	66	1
25	207	223	1
26	210	35	1
27	217	283	1
28	220	91	1
29	231	343	1
30	238	71	1
31	245	158	1
32	247	1	1
33	259	137	1
34	265	230	1
35	268	93	1
36	275	17	1
37	276	275	1
38	277	100	1
39	277	188	1
40	278	228	1
41	278	239	1
42	286	80	1
43	294	335	1
44	299	112	1
45	308	36	1
46	308	158	1
47	309	165	1
48	313	183	1
49	320	230	1
50	328	268	1
51	337	330	1
52	361	101	1
53	368	173	1
54	369	140	1
55	374	250	1
56	383	202	1
57	393	259	1
58	406	321	1
59	2	271	1
