1	125	330	1
2	175	330	1
3	225	330	1
4	275	330	1
5	100	287	1
6	150	287	1
7	200	287	1
8	250	287	1
9	300	287	1
10	75	243	1
11	125	243	1
12	175	243	1
13	225	243	1
14	275	243	1
15	325	243	1
16	50	200	1
17	100	200	1
18	150	200	1
19	200	200	1
20	250	200	1
21	300	200	1
22	350	200	1
23	75	157	1
24	125	157	1
25	175	157	1
26	225	157	1
27	275	157	1
28	325	157	1
29	100	113	1
30	150	113	1
31	200	113	1
32	250	113	1
33	300	113	1
34	125	70	1
35	175	70	1
36	225	70	1
37	275	70	1
